,F1-score,Precision,Recall,Support,Threshold (mean),Threshold (min)
ACP,0.96,1.00,0.91,4315,62.1,13.9
AT,1.00,1.00,1.00,2893,321.6,47.4
A,1.00,1.00,0.99,3092,368.6,19.6
CAL,0.94,0.89,1.00,180,449.5,221.8
C,1.00,1.00,1.00,2734,230.3,25.9
DH2,0.98,0.95,1.00,414,162.1,33.2
DH,0.99,1.00,0.99,1469,165.3,31.1
DHt,0.88,0.98,0.81,113,75.3,44.3
ER,1.00,1.00,1.00,646,254.0,68.8
E,1.00,0.99,1.00,424,305.1,60.4
KR,1.00,1.00,1.00,3374,161.3,20.0
KS,1.00,1.00,1.00,3970,535.0,72.0
PCP,0.97,0.95,1.00,2785,81.0,21.9
TD,1.00,1.00,1.00,118,227.0,42.1
TE,1.00,1.00,1.00,824,134.7,36.5
bACP,0.59,0.42,1.00,155,74.6,28.9
cMT,1.00,0.99,1.00,326,226.5,104.7
nMT,0.99,1.00,0.99,173,276.1,42.7
oMT,0.99,0.99,0.99,184,153.8,70.6
tATd,0.98,0.97,1.00,665,133.7,50.0
Macro avg.,0.97,0.96,0.99,30144,,
Micro avg.,0.99,0.99,0.99,30144,,
Weighted avg.,0.99,0.99,0.99,30144,,
